,Date of Creation,Content,hashtags,User
0,2023-03-19 23:59:37+00:00,@glenoglaza1 Hush pal. Arsenal unexpectedly beat CP 28teen tae 4 and naebdy made a song n dance aboot it. Jist shoosh ur Spurs wull dae ye in 😂,N/A,AlladinNoons
1,2023-03-19 23:59:32+00:00,"@Crypto_Aeon7 Yup, gonna be a good week! 

Check $LABS for a $3mil MC #KuCoin  micro 💎. Partnered w/ a Top 10 global football club (Arsenal) to build a global #NFT hotel platform! And 65+ hotels already signed up.

Real utility, partner with audience of 100mil+, real business model.","['KuCoin', 'NFT']",When_mewn
2,2023-03-19 23:59:29+00:00,I #VoteKlauss for @MLS Player of the Matchday!,['VoteKlauss'],SchmittRobSaid
3,2023-03-19 23:59:28+00:00,I #VoteQuioto for @MLS Player of the Matchday!,['VoteQuioto'],HangHasan
4,2023-03-19 23:59:27+00:00,@arsenal_25 Plus 2 red cards 😂,N/A,crisbrown300
5,2023-03-19 23:59:26+00:00,I #VoteMoreno for @MLS Player of the Matchday!,['VoteMoreno'],bengalsredsfan1
6,2023-03-19 23:59:26+00:00,#MatchDay is one of my favorite times of the year. To hear the back story of these individuals and how their dreams finally came true; is inspiring to say the very least.,['MatchDay'],CremedelaShem
7,2023-03-19 23:59:22+00:00,@GNev2 As an Arsenal fan I’ve found a rare occasion whenI agree with you. Keep him there for the next 10 years,N/A,ChrisKirby143
8,2023-03-19 23:59:18+00:00,"JustArsenal News Odegaard discusses the impact of Jesus and Zinchenko https://t.co/nJHiESAdJ1
#afc #JustArsenal #Arsenal","['afc', 'JustArsenal', 'Arsenal']",JustArsenal
9,2023-03-19 23:59:13+00:00,"@AbdulMIsmail @GaryLineker @BukayoSaka87 @Arsenal @theofficialfwa What aload of bullshit and the whole Leicester comparison is poor. Arsenal are a sleeping giant, one of the most successful clubs in England who have been poor for too long.  Finally we have direction and a philosophy. We will strengthen again in the summer and be stronger",N/A,KinGFluBbY
10,2023-03-19 23:59:10+00:00,I ❤️ this photo @F1 I am coming to the Belgian Grand Prix my first race any chance of a complimentary upgrade on the tickets.,N/A,I_14_23Arsenal
11,2023-03-19 23:59:10+00:00,@ltarsenal Wots all the hype about city have been playing in 4 competitions we been playing in 2 and they wer only still 5 points behind if city wer only in 2 comps they wud have been 20 points ahead just saying arsenal fans dont take variables into consideration,N/A,gunner497_josh
12,2023-03-19 23:59:05+00:00,Andy Vermaut shares:Arsenal 4-1 Crystal Palace: 'Fearless Gunners have a beautiful attitude' - Martin Keown analysis: Martin Keown explains why leaders Arsenal are right not to have any doubts now as they enter the home straight of the Premier… https://t.co/hSQXPioIl6 Thank you https://t.co/RrLZdNb3T6,N/A,AndyVermaut
