,Date of Creation,Content,hashtags,User
0,2023-04-09 23:59:55+00:00,"Lol he just can’t bring himself to praise Arsenal.

At least directly!",N/A,holzapfelbaum
1,2023-04-09 23:59:55+00:00,@StoolFootball who’s gonna tell bro that arsenal is still in the lead,N/A,skuwuxs
2,2023-04-09 23:59:52+00:00,@mikeypoulli @Arsenal No proper supporter would say you are wasting a ticket lad. Keep going and enjoy the football.,N/A,ChrisDove1
3,2023-04-09 23:59:50+00:00,I #VoteBouanga for @MLS Player of the Matchday!,['VoteBouanga'],cescsar14
4,2023-04-09 23:59:48+00:00,@TURNTAFNICK just know if arsenal don’t win. it’s not gonna be good for you,N/A,plantaindemi
5,2023-04-09 23:59:47+00:00,@WhistleBlowerDK I agree the ARs reaction does not justify his action. It was aggressive he was intentionally going towards Robbos face. I would be saying the same thing if it were Arsenal. The AR has little to complain about if he is suspended/removed.,N/A,rickdonkulous8
6,2023-04-09 23:59:43+00:00,Worst sub in prem history that odegaard for kiwior one,N/A,ollie_adler
7,2023-04-09 23:59:34+00:00,@Carra23 Listening to you wanting Arsenal to win was as hilarious as it was embarrassing,N/A,GunnTooshe51
8,2023-04-09 23:59:27+00:00,@667keos @Arsenal @AaronRamsdale98 Warra word,N/A,carti__
9,2023-04-09 23:59:14+00:00,"Sneaked into IG. The reason Arsenal fans hate Antony the most is obvious 😂😂😂😂😂😂😂😂😭😭. I don't blame them. Let's also be honest, it might not have been a great season for Antony but he has come up clutch in certain moments. Something is actually there.",N/A,GrandFeddy
10,2023-04-09 23:59:10+00:00,@6DBallKnowledge @UTDWillz @ErlingRoIe We need arsenal and man united rivalry back asap or this twerkfest ain't gonna end,N/A,UTDBelasi
11,2023-04-09 23:59:10+00:00,@yemiTM442 @Arsenal You think!.,N/A,KestrelKay
12,2023-04-09 23:59:08+00:00,@theOnyedikachi @TenHagEra Funniest shit is Liverpool shouldve scored more vs Arsenal than United,N/A,imo_omar
13,2023-04-09 23:59:08+00:00,@arusio4 Arsenal 13 league titles man city......,N/A,ReyOrozco16
14,2023-04-09 23:59:03+00:00,"@gabrieljesus9 @BryanAheebwa Thanks for the wonderful playing as a team so keep on guys,l love arsenal and l believe y will make it however the pressure",N/A,ssemakulabosco2
15,2023-04-09 23:59:00+00:00,Liverpool would have beat Arsenal if Luis Diaz was playing,N/A,WoopsieGuy
16,2023-04-09 23:58:56+00:00,"@stiflerjohnson @Arsenalnewschan In my opinion, the referee is to be blamed for that incident. Xhaka only became upset after being rightfully denied a foul. It’s sad that many English referees want to see Arsenal fail, but it is what it is. It’s us against the world.",N/A,officialSteve_N
17,2023-04-09 23:58:55+00:00,"@jonmufc44 @terryflewers The difference here is that, luckily, the choice is between insufferable Arsenal fans plus bruised MUFC fans egos juxtaposed with history making by our rivals (or anyone for that matter) we should never support a team to win the league when doing so would break our own records.",N/A,Azanian_Lover
18,2023-04-09 23:58:54+00:00,@VP Yessss STOP TRANS VIOLENCE,N/A,NJArsenal82
